sampleID	timePoint	species	path
dme_mock_05h_1	0.5h	dme	/public1/users/aimei/cFF/expression_data/AMO_data/stringtie_out/
dme_mock_05h_2	0.5h	dme	/public1/users/aimei/cFF/expression_data/AMO_data/stringtie_out/
dme_mock_2h_2	2h	dme	/public1/users/aimei/cFF/expression_data/AMO_data/stringtie_out/
dme_mock_2h_1	2h	dme	/public1/users/aimei/cFF/expression_data/AMO_data/stringtie_out/
dsi_mock_2h_2	2h	dsi	/public1/users/aimei/cFF/expression_data/AMO_data/stringtie_out/
dsi_mock_2h_1	2h	dsi	/public1/users/aimei/cFF/expression_data/AMO_data/stringtie_out/
dsi_mock_05h_1	0.5h	dsi	/public1/users/aimei/cFF/expression_data/AMO_data/stringtie_out/
dsi_mock_05h_2	0.5h	dsi	/public1/users/aimei/cFF/expression_data/AMO_data/stringtie_out/
